ranking_date,rank,player_id,points,name_first,name_last,hand,dob,ioc,height,wikidata_id,age,tours,rank_group,full_name
2021-11-22,1,104925,11540,Novak,Djokovic,R,1987-05-22,SRB,188,Q5812,34,NA,"(0,10]",Novak Djokovic
2021-11-22,2,106421,8640,Daniil,Medvedev,R,1996-02-11,RUS,198,Q21622022,25,NA,"(0,10]",Daniil Medvedev
2021-11-22,3,100644,7840,Alexander,Zverev,R,1997-04-20,GER,198,Q4189526,24,NA,"(0,10]",Alexander Zverev
2021-11-22,4,126774,6540,Stefanos,Tsitsipas,R,1998-08-12,GRE,193,Q24450982,23,NA,"(0,10]",Stefanos Tsitsipas
2021-11-22,5,126094,5150,Andrey,Rublev,R,1997-10-20,RUS,188,Q17373391,24,NA,"(0,10]",Andrey Rublev
2021-11-22,6,104745,4875,Rafael,Nadal,L,1986-06-03,ESP,185,Q10132,35,NA,"(0,10]",Rafael Nadal
2021-11-22,7,126610,4568,Matteo,Berrettini,R,1996-04-12,ITA,196,Q29918446,25,NA,"(0,10]",Matteo Berrettini
2021-11-22,8,134770,4160,Casper,Ruud,R,1998-12-22,NOR,183,Q18810082,22,NA,"(0,10]",Casper Ruud
2021-11-22,9,128034,3706,Hubert,Hurkacz,R,1997-02-11,POL,196,Q18927958,24,NA,"(0,10]",Hubert Hurkacz
2021-11-22,10,206173,3350,Jannik,Sinner,R,2001-08-16,ITA,188,Q54812588,20,NA,"(0,10]",Jannik Sinner
2021-11-22,11,200000,3308,Felix,Auger Aliassime,R,2000-08-08,CAN,193,Q20752045,21,NA,"(10,20]",Felix Auger Aliassime
2021-11-22,12,111815,2945,Cameron,Norrie,L,1995-08-23,GBR,188,Q23668736,26,NA,"(10,20]",Cameron Norrie
2021-11-22,13,106043,2625,Diego,Schwartzman,R,1992-08-16,ARG,170,Q5274812,29,NA,"(10,20]",Diego Schwartzman
2021-11-22,14,133430,2475,Denis,Shapovalov,L,1999-04-15,CAN,185,Q20979382,22,NA,"(10,20]",Denis Shapovalov
2021-11-22,15,106233,2425,Dominic,Thiem,R,1993-09-03,AUT,185,Q88762,28,NA,"(10,20]",Dominic Thiem
2021-11-22,16,103819,2385,Roger,Federer,R,1981-08-08,SUI,185,Q1426,40,NA,"(10,20]",Roger Federer
